"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 09 16:57:08 IST 2024","Fri Aug 09 16:57:08 IST 2024","0","All Test Suite","E:/Intellij_Projects/API_Automation/RestfulBooker/src/test","com.api.ddt.AuthCredDDT","com.api.ddt.AuthCredDDT","testLoginData","testLoginData",""
"passed","Fri Aug 09 16:57:08 IST 2024","Fri Aug 09 16:57:08 IST 2024","0","All Test Suite","E:/Intellij_Projects/API_Automation/RestfulBooker/src/test","com.api.ddt.AuthCredDDT","com.api.ddt.AuthCredDDT","testLoginData","testLoginData",""
"passed","Fri Aug 09 16:52:31 IST 2024","Fri Aug 09 16:52:33 IST 2024","1486","Default Suite","RestfulBooker","com.api.crud.TC_IntegrationTest","com.api.crud.TC_IntegrationTest","testDeleteBooking","testDeleteBooking",""
"broken","Fri Aug 09 16:45:04 IST 2024","Fri Aug 09 16:45:04 IST 2024","11","All Test Suite","E:/Intellij_Projects/API_Automation/RestfulBooker/src/test","com.api.crud.TC_CreateBooking","com.api.crud.TC_CreateBooking","setUp","setUp",""
"passed","Fri Aug 09 16:57:04 IST 2024","Fri Aug 09 16:57:05 IST 2024","1486","All Test Suite","E:/Intellij_Projects/API_Automation/RestfulBooker/src/test","com.api.crud.TC_CreateBooking","com.api.crud.TC_CreateBooking","testCreateBooking_Valid","testCreateBooking_Valid","TC#1 - Create booking positive test case"
"passed","Fri Aug 09 16:57:08 IST 2024","Fri Aug 09 16:57:08 IST 2024","0","All Test Suite","E:/Intellij_Projects/API_Automation/RestfulBooker/src/test","com.api.ddt.AuthCredDDT","com.api.ddt.AuthCredDDT","testLoginData","testLoginData",""
"broken","Fri Aug 09 14:07:03 IST 2024","Fri Aug 09 14:07:03 IST 2024","6","Default Suite","RestfulBooker","com.api.ddt.AuthCredDDT","com.api.ddt.AuthCredDDT","testLoginData","testLoginData",""
"broken","Fri Aug 09 16:46:16 IST 2024","Fri Aug 09 16:46:16 IST 2024","0","Default Suite","RestfulBooker","com.api.crud.TC_IntegrationTest","com.api.crud.TC_IntegrationTest","setUp","setUp",""
"passed","Fri Aug 09 16:57:02 IST 2024","Fri Aug 09 16:57:04 IST 2024","2204","All Test Suite","E:/Intellij_Projects/API_Automation/RestfulBooker/src/test","com.api.crud.TC_AuthToken","com.api.crud.TC_AuthToken","createAuthToken","createAuthToken",""
"broken","Fri Aug 09 16:42:23 IST 2024","Fri Aug 09 16:42:23 IST 2024","755","Default Suite","RestfulBooker","com.api.misc.TestFillo","com.api.misc.TestFillo","testGetFillo","testGetFillo",""
"passed","Fri Aug 09 16:52:30 IST 2024","Fri Aug 09 16:52:31 IST 2024","1451","Default Suite","RestfulBooker","com.api.crud.TC_IntegrationTest","com.api.crud.TC_IntegrationTest","testPutUpdateBooking","testPutUpdateBooking",""
"passed","Fri Aug 09 16:56:13 IST 2024","Fri Aug 09 16:56:17 IST 2024","4305","All Test Suite","E:/Intellij_Projects/API_Automation/RestfulBooker/src/test","com.api.crud.TC_IntegrationTest","com.api.crud.TC_IntegrationTest","testCreateBooking","testCreateBooking",""
"passed","Fri Aug 09 16:52:33 IST 2024","Fri Aug 09 16:52:34 IST 2024","1540","Default Suite","RestfulBooker","com.api.crud.TC_IntegrationTest","com.api.crud.TC_IntegrationTest","testVerifyDeleteBookingByGet","testVerifyDeleteBookingByGet",""
"passed","Wed Aug 07 02:33:18 IST 2024","Wed Aug 07 02:33:20 IST 2024","2248","Default Suite","RestfulBooker","com.api.crud.TC_CreateBooking","com.api.crud.TC_CreateBooking","testCreateBooking","testCreateBooking","Create booking positive test case"
"passed","Fri Aug 09 16:57:05 IST 2024","Fri Aug 09 16:57:07 IST 2024","1571","All Test Suite","E:/Intellij_Projects/API_Automation/RestfulBooker/src/test","com.api.crud.TC_CreateBooking","com.api.crud.TC_CreateBooking","testCreateBooking_Invalid","testCreateBooking_Invalid","TC#2 - Create booking invalid values in request test case"
